,Genre,Responsable_secondaire,Orphelin,Confession,Ecole_secondaire,Option_secondaire,Grade_examen_Etat,Province_secondaire,Age_fin_secondaire,Etude_cours_secondaire,Vouloir_devenir_avant_universite,Respo_oriention_departement,Aimer_departement,Annee_reposAvantUniversite,Age_adm_Universite,Nature_universite,Type_institution,Province_universite,Respo_universitaire,Niveau,Refaitre_sixieme_secondaire,Competence_math,Competence_physique,Competence_biologie,Competence_chimie,Competence_informatique,Competence_Dessin,Domaine_Universite
36,1,2.0,1,0.0,0,8,0.0,0.0,4.0,2,0,0,0,2.0,2.5,0.0,0,0.0,0,2,0,2,1.0,1.0,1.0,1,1,0
37,0,4.0,1,0.0,6,3,0.0,0.0,5.0,2,6,0,0,0.0,2.5,2.5,0,0.0,0,2,1,2,1.0,1.0,1.0,1,2,0
38,0,1.0,0,0.0,5,4,0.0,0.0,3.0,2,3,6,0,2.5,2.5,0.0,1,0.0,6,2,0,1,1.0,1.0,1.0,2,0,0
39,1,4.0,1,5.0,7,2,0.0,1.0,7.0,1,6,0,0,0.0,2.5,2.5,1,1.0,0,2,0,1,1.0,1.0,1.0,2,2,0
40,1,3.0,0,4.0,4,3,0.0,2.0,2.0,0,6,1,0,1.0,2.5,1.0,1,2.5,2,2,0,2,1.0,1.0,1.0,1,0,3
41,0,1.0,1,1.0,0,8,0.0,7.5,3.0,2,1,3,0,1.0,2.5,2.0,0,2.5,1,2,0,1,1.0,1.0,1.0,2,1,1
42,1,2.0,1,1.0,5,3,0.0,4.0,3.0,2,1,5,0,1.0,2.5,2.5,0,2.5,1,1,1,1,1.0,1.0,1.0,0,1,1
43,1,6.0,0,0.0,0,8,0.0,0.0,2.0,1,4,0,0,0.0,2.5,0.0,0,0.0,6,2,0,2,1.0,1.0,1.0,1,1,0
44,0,6.0,1,0.0,0,8,0.0,0.0,1.0,0,1,0,0,0.0,1.0,0.0,0,0.0,6,2,0,1,1.0,1.0,1.0,2,2,0
45,1,1.0,0,0.0,0,0,0.0,0.0,1.0,1,2,0,0,0.0,1.0,0.0,0,0.0,1,2,0,1,1.0,1.0,1.0,1,0,0
46,0,0.0,1,0.0,6,3,0.0,0.0,5.0,2,1,0,0,0.0,2.5,2.5,0,0.0,0,2,1,2,1.0,1.0,1.0,1,2,0
47,1,1.0,0,1.0,0,4,0.0,0.0,2.0,2,4,1,1,0.0,2.0,0.0,0,0.0,1,2,1,1,1.0,1.0,1.0,1,1,0
48,1,1.0,0,0.0,6,4,0.0,0.0,2.0,2,1,7,0,0.0,2.0,2.5,0,0.0,3,2,0,0,1.0,1.0,1.0,1,2,0
49,0,6.0,0,1.0,0,0,0.0,2.0,2.0,1,7,0,0,0.0,2.0,1.0,1,2.5,6,2,1,1,1.0,1.0,1.0,1,2,0
50,0,1.0,0,0.0,0,0,0.0,2.0,2.0,0,3,0,0,0.0,2.0,1.0,1,2.5,1,2,0,2,1.0,1.0,1.0,1,0,0
51,0,5.0,1,0.0,0,8,0.0,2.0,6.0,1,1,0,0,2.5,2.5,1.0,1,2.5,2,2,0,1,1.0,1.0,1.0,0,1,0
52,1,1.0,0,1.0,0,2,0.0,2.0,2.0,2,2,7,0,0.0,2.5,1.0,1,2.5,0,2,0,1,1.0,1.0,1.0,2,2,0
53,0,1.0,0,8.125,0,5,0.0,2.0,3.0,0,0,8,0,0.0,2.5,1.0,1,2.5,6,2,0,1,1.0,1.0,1.0,2,2,0
54,0,1.0,0,1.0,1,4,0.0,0.0,3.0,2,0,0,0,0.0,2.5,0.0,0,0.0,1,0,0,0,1.0,1.0,1.0,2,1,0
55,0,1.0,0,0.0,0,0,0.0,0.0,5.0,0,2,5,0,0.0,2.5,0.0,0,0.0,0,0,0,1,1.0,1.0,1.0,2,0,0
56,1,1.0,0,0.0,0,0,0.0,0.0,2.0,0,11,0,0,0.0,2.0,0.0,0,0.0,1,0,0,1,1.0,1.0,1.0,1,0,0
57,0,4.0,0,0.0,6,8,0.0,0.0,4.0,2,11,0,0,0.0,2.5,0.0,0,0.0,4,0,1,1,1.0,1.0,1.0,2,1,0
58,1,1.0,0,1.0,1,6,0.0,0.0,1.0,2,7,5,0,0.0,1.0,0.0,0,0.0,1,0,0,0,1.0,1.0,1.0,2,1,3
59,0,2.0,0,1.0,1,4,0.0,0.0,3.0,0,1,1,0,0.0,2.5,0.0,0,0.0,3,0,0,1,1.0,1.0,1.0,2,2,0
60,0,2.0,0,1.0,1,4,0.0,0.0,3.0,0,1,1,0,0.0,2.5,0.0,0,0.0,3,0,0,1,1.0,1.0,1.0,2,2,0
61,1,3.0,0,0.0,1,4,0.0,0.0,1.0,0,3,0,0,1.0,2.0,1.0,1,0.0,5,0,0,1,1.0,1.0,1.0,2,1,0
62,1,1.0,0,1.0,7,3,0.0,2.0,1.0,1,11,0,0,0.0,1.0,2.0,1,0.0,6,0,0,1,1.0,1.0,1.0,1,1,3
63,1,1.0,0,8.125,7,0,0.0,0.0,3.0,0,3,0,0,0.0,2.5,2.5,0,0.0,1,2,0,1,1.0,1.0,1.0,1,1,0
64,0,5.0,0,1.0,5,6,0.0,3.0,3.0,3,1,0,0,0.0,2.5,1.0,1,1.0,0,2,0,1,1.0,1.0,1.0,2,1,0
65,1,1.0,0,0.0,0,0,0.0,0.0,2.0,2,3,0,1,0.0,2.0,0.0,0,0.0,1,1,0,0,1.0,1.0,1.0,1,1,0
66,0,1.0,1,0.0,5,0,0.0,0.0,7.0,2,1,0,0,1.0,2.5,0.0,0,0.0,6,2,0,1,1.0,1.0,1.0,1,1,0
67,0,1.0,0,0.0,0,4,0.0,0.0,3.0,0,7,0,0,0.0,2.5,2.5,0,0.0,1,1,1,0,1.0,1.0,1.0,2,1,0
68,0,2.0,0,0.0,3,2,0.0,0.0,4.0,2,0,0,0,0.0,2.5,0.0,0,0.0,3,1,0,1,1.0,1.0,1.0,1,1,0
69,0,1.0,0,1.0,1,0,0.0,0.0,2.0,2,2,5,1,1.0,2.5,2.0,0,0.0,1,2,0,2,1.0,1.0,1.0,2,0,0
70,1,0.0,0,0.0,5,1,0.0,7.5,3.0,0,1,0,0,0.0,2.5,1.0,1,2.5,0,2,0,2,1.0,1.0,1.0,1,2,1
71,1,1.0,0,1.0,6,8,0.0,7.0,4.0,0,6,5,0,1.0,2.5,1.0,1,2.5,6,1,1,1,1.0,1.0,1.0,2,2,1
72,1,3.0,1,5.0,0,0,0.0,6.0,3.0,1,2,1,1,1.0,2.5,1.0,1,2.5,5,2,0,2,1.0,1.0,1.0,1,2,1
73,0,6.0,0,6.0,2,7,0.0,7.5,2.0,0,0,6,1,0.0,2.0,2.5,0,2.5,6,1,0,1,1.0,1.0,1.0,2,1,0
74,0,1.0,1,0.0,0,4,0.0,0.0,5.0,0,0,0,0,0.0,2.5,0.0,0,0.0,3,1,0,1,1.0,1.0,1.0,2,0,0
75,0,6.0,0,5.0,0,0,0.0,1.0,3.0,0,3,0,0,0.0,2.5,0.0,1,2.5,0,1,0,1,1.0,1.0,1.0,1,2,1
76,0,5.0,1,7.0,4,6,0.0,4.0,4.0,1,8,7,1,2.0,2.5,1.0,1,2.5,6,2,1,2,1.0,1.0,1.0,1,1,1
77,1,1.0,0,0.0,6,3,0.0,7.5,3.0,0,7,0,0,1.0,2.5,2.5,0,2.5,0,0,0,1,1.0,1.0,1.0,1,1,3
78,1,1.0,0,1.0,6,8,0.0,7.0,4.0,2,8,3,1,1.0,2.5,2.5,0,2.5,2,2,0,1,1.0,1.0,1.0,1,0,3
79,1,1.0,0,0.0,0,1,0.0,3.0,3.0,0,5,0,0,0.0,2.5,1.0,0,1.0,2,2,0,2,1.0,1.0,1.0,0,0,2
80,0,1.0,0,0.0,0,8,0.0,2.0,5.0,1,1,0,0,2.5,2.5,1.0,1,1.0,1,0,0,1,1.0,1.0,1.0,2,2,0
81,0,2.0,1,0.0,5,2,0.0,3.0,3.0,0,9,0,0,2.5,2.5,1.0,1,1.0,3,2,0,1,1.0,1.0,1.0,1,0,3
82,1,3.0,1,1.0,6,3,0.0,0.0,3.0,1,1,3,0,1.0,2.5,2.5,1,2.5,2,1,0,1,1.0,1.0,1.0,0,0,3
83,0,1.0,0,0.0,0,2,0.0,0.0,2.0,0,11,0,0,2.0,2.5,1.0,1,0.0,1,0,0,1,1.0,1.0,1.0,0,0,0
